from_capture_frame,to_capture_frame,from_mame_frame,to_mame_frame,changed_tiles,bounds,rows,image
473,491,2985,3003,1,"168,16-175,23",2:1,keyframes/frame_00491_mame_3003.png
491,497,3003,3009,1,"152,8-159,15",1:1,keyframes/frame_00497_mame_3009.png
497,505,3009,3017,1,"152,16-159,23",2:1,keyframes/frame_00505_mame_3017.png
505,523,3017,3035,1,"168,16-175,23",2:1,keyframes/frame_00523_mame_3035.png
523,529,3035,3041,1,"152,8-159,15",1:1,keyframes/frame_00529_mame_3041.png
529,545,3041,3057,1,"152,16-159,23",2:1,keyframes/frame_00545_mame_3057.png
545,561,3057,3073,1,"152,8-159,15",1:1,keyframes/frame_00561_mame_3073.png
561,563,3073,3075,1,"168,16-175,23",2:1,keyframes/frame_00563_mame_3075.png
563,577,3075,3089,1,"152,16-159,23",2:1,keyframes/frame_00577_mame_3089.png
577,595,3089,3107,1,"168,16-175,23",2:1,keyframes/frame_00595_mame_3107.png
595,601,3107,3113,1,"152,8-159,15",1:1,keyframes/frame_00601_mame_3113.png
601,617,3113,3129,1,"152,16-159,23",2:1,keyframes/frame_00617_mame_3129.png
617,635,3129,3147,1,"168,16-175,23",2:1,keyframes/frame_00635_mame_3147.png
635,641,3147,3153,2,"152,8-167,15",1:2,keyframes/frame_00641_mame_3153.png
