index,name,width,height,atlas_x,atlas_y,atlas_w,atlas_h,source_name,source_copy,source_component,source_x,source_y,source_w,source_h,area,source_count,hash,image
1,"pulled_tile_0001",176,120,2,2,176,120,"corridor_view_002_capture_0003_tiles.png",analysis/wall_reconstruction/environment_pulled_tile_atlas/source_images/corridor_view_002_capture_0003_tiles.png,1,0,0,176,120,20789,1,"c34be9720c1ed0320a556244eef368d37ca68647"
2,"pulled_tile_0002",25,88,180,2,25,88,"corridor_view_002_capture_0003_tiles.png",analysis/wall_reconstruction/environment_pulled_tile_atlas/source_images/corridor_view_002_capture_0003_tiles.png,2,185,8,25,88,1816,1,"bf0535418367f5ec76ab169c0f28078f16b0acdd"
3,"pulled_tile_0003",48,36,207,2,48,36,"corridor_view_002_capture_0003_tiles.png",analysis/wall_reconstruction/environment_pulled_tile_atlas/source_images/corridor_view_002_capture_0003_tiles.png,3,232,8,48,36,1728,1,"9e3c38896764f85cd7c4bdda03c38650a5b20314"
4,"pulled_tile_0004",24,88,257,2,24,88,"corridor_view_002_capture_0003_tiles.png",analysis/wall_reconstruction/environment_pulled_tile_atlas/source_images/corridor_view_002_capture_0003_tiles.png,4,300,8,24,88,1759,1,"8b093eaf6f0d87f5cd6752c38074ee0142c29d3d"
5,"pulled_tile_0005",17,57,283,2,17,57,"corridor_view_002_capture_0003_tiles.png",analysis/wall_reconstruction/environment_pulled_tile_atlas/source_images/corridor_view_002_capture_0003_tiles.png,5,244,60,17,57,788,1,"e272d594f3e66650b6644dfa9a72708aa703438a"
