key_index,capture_frame,mame_frame,source_png,review_png,tile_hash,png_hash
1,1,3517,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00001_mame_3517.png,keyframes/key_0001.png,3998eb18ce6c5aa131be71e39d39a5d7b9d3858d,07a1e377a541b0464d940c2b90c7632f25a92d96
2,15,3531,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00015_mame_3531.png,keyframes/key_0002.png,0349700a8a13d792942e2ec4ca966dce0646beeb,61bf16f5b2e7643ccb5252d0bedb5efe3901192c
3,27,3543,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00027_mame_3543.png,keyframes/key_0003.png,993e9c1519370bc9b2b7eaeed6fae9118d33a2c7,f9e357edea97f1bd36cf5c5dd93ea0c7fd2f5a72
4,28,3544,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00028_mame_3544.png,keyframes/key_0004.png,c197907d91efb92e492143f5a5fb68e0f2d68cbd,7bd564d40dda77ce60d46f5c6bc8e80df67f8554
5,29,3545,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00029_mame_3545.png,keyframes/key_0005.png,04d5fafff2296e52a7d7581d1b57eab115e01486,092791de1d82b82b65f432075489265b23704417
6,34,3550,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00034_mame_3550.png,keyframes/key_0006.png,f377492341fcb42b634ba1db9603d867328e998b,cfc414593b3ebbc9243e5baecc6318188c0fcfe3
7,38,3554,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00038_mame_3554.png,keyframes/key_0007.png,915917292f865a8516efdb6500d6877cccac600e,63727484526d49089b60b7faf8ce44dc5be76063
8,40,3556,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00040_mame_3556.png,keyframes/key_0008.png,84532b8f11ceba24dc8c4c23c246a8fa6288e959,5761f11d16402f35f8f8bfb3ea728687974dab91
9,47,3563,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00047_mame_3563.png,keyframes/key_0009.png,7471e2141b4fe862afe269f5fb764e9131d03b77,50dd8821aed8010fd4be28b3ef75a2410bddbd58
10,48,3564,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00048_mame_3564.png,keyframes/key_0010.png,81547123cf1d528c01e5228301723f251b9864c2,e503adbd24e7bcc4fa1f91a32d46bb47ee277826
11,61,3577,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00061_mame_3577.png,keyframes/key_0011.png,4bc41f5aafbaed8c4eaa028095e749244119ca36,76a1e0d4f3029a69463bf7bf38e465fca2453dd3
12,70,3586,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00070_mame_3586.png,keyframes/key_0012.png,8b381bfde8bbcf70eb8271af4ae0aad6babf291c,3f5f86b5288825c1e4a32844be96f4c13111bb5a
13,79,3595,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00079_mame_3595.png,keyframes/key_0013.png,11e70e4cbcd37b0ac56d0aa80c3da01adaa815cf,e74f9476983e1c0945d8545be24bf44089182dcb
14,95,3611,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00095_mame_3611.png,keyframes/key_0014.png,b3c55f8d487c2456b69859cc754828b1dafc0fac,65132af2cb8945443ba8d74b54a16e0801d2a2b9
15,96,3612,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00096_mame_3612.png,keyframes/key_0015.png,a6f5d117f5f564f0411d444f1baff6a0ea7b2670,1d815a34b6a9d07a4b9042e87be516a59ebedc1a
16,101,3617,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00101_mame_3617.png,keyframes/key_0016.png,4b154d4a3ec4e228371ce900a5391c3c607945f0,2da3e566acb73e8a722d652fa9df5878332637eb
17,102,3618,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00102_mame_3618.png,keyframes/key_0017.png,bb764350886a4ff42e47b43e3e808cc667cf0cf1,772b0f384bd924ac9044bd988f9d4d4a48421c68
18,103,3619,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00103_mame_3619.png,keyframes/key_0018.png,3c2d75014943197cd1f16274b740c61702562a60,d088590ae7a059740f728f42f7e36f4a5eb272f5
19,108,3624,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0002\playfield\frame_00108_mame_3624.png,keyframes/key_0019.png,ccb4390b0b323ad2f47338f2f629ac5fc0235ea0,947e9c7a2bf143ca72bd2df7d2c337132e7a63f1
