from_capture_frame,to_capture_frame,from_mame_frame,to_mame_frame,changed_tiles,bounds,rows,image
1,15,3517,3531,2,"168,8-175,23",1:1 2:1,keyframes/frame_00015_mame_3531.png
15,27,3531,3543,2,"168,80-175,95",10:1 11:1,keyframes/frame_00027_mame_3543.png
27,28,3543,3544,282,"0,120-159,239",15:20 16:20 17:20 18:19 19:19 20:19 21:20 22:20 23:20 24:20 25:17 26:20 27:15 28:20 29:13,keyframes/frame_00028_mame_3544.png
28,29,3544,3545,1,"152,16-159,23",2:1,keyframes/frame_00029_mame_3545.png
29,34,3545,3550,265,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:11 27:9 28:20 29:5,keyframes/frame_00034_mame_3550.png
34,38,3550,3554,1,"160,8-167,15",1:1,keyframes/frame_00038_mame_3554.png
38,40,3554,3556,237,"0,120-159,239",15:7 16:20 17:20 18:19 19:19 20:19 21:20 22:14 23:20 24:20 25:20 26:20 27:9 28:5 29:5,keyframes/frame_00040_mame_3556.png
40,47,3556,3563,1,"168,16-175,23",2:1,keyframes/frame_00047_mame_3563.png
47,48,3563,3564,1,"56,24-63,31",3:1,keyframes/frame_00048_mame_3564.png
48,61,3564,3577,1,"152,16-159,23",2:1,keyframes/frame_00061_mame_3577.png
61,70,3577,3586,2,"160,8-175,15",1:2,keyframes/frame_00070_mame_3586.png
70,79,3586,3595,1,"168,16-175,23",2:1,keyframes/frame_00079_mame_3595.png
79,95,3595,3611,2,"168,72-175,87",9:1 10:1,keyframes/frame_00095_mame_3611.png
95,96,3611,3612,285,"0,120-159,239",15:20 16:20 17:20 18:19 19:19 20:19 21:20 22:20 23:20 24:20 25:18 26:20 27:16 28:20 29:14,keyframes/frame_00096_mame_3612.png
96,101,3612,3617,2,"152,8-159,23",1:1 2:1,keyframes/frame_00101_mame_3617.png
101,102,3617,3618,253,"0,120-159,239",15:20 16:20 17:20 18:18 19:18 20:18 21:20 22:20 23:20 24:20 25:20 26:9 27:7 28:20 29:3,keyframes/frame_00102_mame_3618.png
102,103,3618,3619,1,"168,8-175,15",1:1,keyframes/frame_00103_mame_3619.png
103,108,3619,3624,237,"0,120-159,239",15:6 16:20 17:20 18:19 19:19 20:19 21:20 22:18 23:20 24:20 25:20 26:20 27:8 28:4 29:4,keyframes/frame_00108_mame_3624.png
108,119,3624,3635,1,"168,16-175,23",2:1,keyframes/frame_00119_mame_3635.png
119,135,3635,3651,1,"168,8-175,15",1:1,keyframes/frame_00135_mame_3651.png
135,141,3651,3657,1,"152,8-159,15",1:1,keyframes/frame_00141_mame_3657.png
141,151,3657,3667,1,"168,16-175,23",2:1,keyframes/frame_00151_mame_3667.png
151,162,3667,3678,2,"168,64-175,79",8:1 9:1,keyframes/frame_00162_mame_3678.png
162,163,3678,3679,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:19 28:20 29:18,keyframes/frame_00163_mame_3679.png
163,169,3679,3685,252,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:20 26:6 27:5 28:20 29:3,keyframes/frame_00169_mame_3685.png
169,173,3685,3689,1,"152,8-159,15",1:1,keyframes/frame_00173_mame_3689.png
173,175,3689,3691,223,"0,120-159,239",15:4 16:20 17:20 18:16 19:20 20:20 21:14 22:20 23:18 24:20 25:20 26:20 27:5 28:3 29:3,keyframes/frame_00175_mame_3691.png
175,176,3691,3692,1,"168,8-175,15",1:1,keyframes/frame_00176_mame_3692.png
176,191,3692,3707,1,"168,16-175,23",2:1,keyframes/frame_00191_mame_3707.png
191,206,3707,3722,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00206_mame_3722.png
206,207,3722,3723,1,"168,8-175,15",1:1,keyframes/frame_00207_mame_3723.png
207,212,3723,3728,279,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:18 27:19 28:14 29:10,keyframes/frame_00212_mame_3728.png
212,213,3728,3729,1,"152,8-159,15",1:1,keyframes/frame_00213_mame_3729.png
213,218,3729,3734,263,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:13 29:7,keyframes/frame_00218_mame_3734.png
218,223,3734,3739,1,"168,64-175,71",8:1,keyframes/frame_00223_mame_3739.png
223,224,3739,3740,256,"0,120-159,239",15:17 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:13 25:13 26:20 27:15 28:10 29:8,keyframes/frame_00224_mame_3740.png
224,231,3740,3747,1,"168,16-175,23",2:1,keyframes/frame_00231_mame_3747.png
231,239,3747,3755,1,"168,8-175,15",1:1,keyframes/frame_00239_mame_3755.png
239,245,3755,3761,1,"152,8-159,15",1:1,keyframes/frame_00245_mame_3761.png
245,248,3761,3764,1,"56,24-63,31",3:1,keyframes/frame_00248_mame_3764.png
248,263,3764,3779,1,"168,16-175,23",2:1,keyframes/frame_00263_mame_3779.png
