from_capture_frame,to_capture_frame,from_mame_frame,to_mame_frame,changed_tiles,bounds,rows,image
1,33,5954,5986,2,"168,16-183,23",2:2,keyframes/frame_00033_mame_5986.png
33,34,5986,5987,273,"0,120-159,239",15:20 16:20 17:20 18:16 19:16 20:16 21:20 22:20 23:20 24:20 25:15 26:20 27:15 28:20 29:15,keyframes/frame_00034_mame_5987.png
34,40,5987,5993,269,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:11 27:10 28:20 29:8,keyframes/frame_00040_mame_5993.png
40,46,5993,5999,223,"0,120-159,239",15:5 16:20 17:20 18:18 19:18 20:18 21:20 22:10 23:20 24:20 25:20 26:20 27:6 28:4 29:4,keyframes/frame_00046_mame_5999.png
46,59,5999,6012,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00059_mame_6012.png
59,65,6012,6018,286,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:15 27:19 28:17 29:16,keyframes/frame_00065_mame_6018.png
65,71,6018,6024,269,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:14 29:11,keyframes/frame_00071_mame_6024.png
71,76,6024,6029,1,"168,16-175,23",2:1,keyframes/frame_00076_mame_6029.png
76,77,6029,6030,245,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:13 25:11 26:20 27:13 28:7 29:5,keyframes/frame_00077_mame_6030.png
77,135,6030,6088,245,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:13 25:11 26:20 27:13 28:7 29:5,keyframes/frame_00135_mame_6088.png
135,141,6088,6094,269,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:14 29:11,keyframes/frame_00141_mame_6094.png
141,147,6094,6100,286,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:15 27:19 28:17 29:16,keyframes/frame_00147_mame_6100.png
147,153,6100,6106,301,"0,16-175,239",2:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00153_mame_6106.png
153,171,6106,6124,1,"40,24-47,31",3:1,keyframes/frame_00171_mame_6124.png
171,196,6124,6149,2,"160,16-175,23",2:2,keyframes/frame_00196_mame_6149.png
196,197,6149,6150,291,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:18 26:20 27:17 28:20 29:16,keyframes/frame_00197_mame_6150.png
197,203,6150,6156,251,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:5 27:4 28:20 29:2,keyframes/frame_00203_mame_6156.png
203,209,6156,6162,232,"0,120-159,239",15:4 16:20 17:20 18:20 19:20 20:20 21:20 22:17 23:20 24:20 25:20 26:20 27:5 28:3 29:3,keyframes/frame_00209_mame_6162.png
209,256,6162,6209,272,"0,120-159,239",15:19 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:19 28:12 29:12,keyframes/frame_00256_mame_6209.png
256,262,6209,6215,284,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:15 27:16 28:20 29:17,keyframes/frame_00262_mame_6215.png
262,268,6215,6221,267,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:12 27:17 28:14 29:10,keyframes/frame_00268_mame_6221.png
268,273,6221,6226,1,"160,16-167,23",2:1,keyframes/frame_00273_mame_6226.png
273,274,6226,6227,237,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:12 28:6 29:2,keyframes/frame_00274_mame_6227.png
