from_capture_frame,to_capture_frame,from_mame_frame,to_mame_frame,changed_tiles,bounds,rows,image
274,291,6227,6244,234,"0,120-159,231",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:11 28:6,keyframes/frame_00291_mame_6244.png
291,297,6244,6250,254,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:15 28:8 29:4,keyframes/frame_00297_mame_6250.png
297,303,6250,6256,268,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:17 26:14 27:14 28:14 29:9,keyframes/frame_00303_mame_6256.png
303,309,6256,6262,269,"0,16-167,239",2:1 15:19 16:20 17:20 18:20 19:20 20:20 21:20 22:19 23:20 24:15 25:15 26:20 27:18 28:12 29:10,keyframes/frame_00309_mame_6262.png
309,326,6262,6279,277,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:19 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_00326_mame_6279.png
326,332,6279,6285,283,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_00332_mame_6285.png
332,338,6285,6291,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00338_mame_6291.png
338,343,6291,6296,1,"160,16-167,23",2:1,keyframes/frame_00343_mame_6296.png
343,344,6296,6297,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00344_mame_6297.png
344,362,6297,6315,1,"40,24-47,31",3:1,keyframes/frame_00362_mame_6315.png
362,363,6315,6316,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00363_mame_6316.png
363,369,6316,6322,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00369_mame_6322.png
369,375,6322,6328,282,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_00375_mame_6328.png
375,380,6328,6333,1,"160,16-167,23",2:1,keyframes/frame_00380_mame_6333.png
380,381,6333,6334,278,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_00381_mame_6334.png
381,400,6334,6353,272,"0,120-159,239",15:19 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:19 28:12 29:12,keyframes/frame_00400_mame_6353.png
400,406,6353,6359,284,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:15 27:16 28:20 29:17,keyframes/frame_00406_mame_6359.png
406,412,6359,6365,267,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:12 27:17 28:14 29:10,keyframes/frame_00412_mame_6365.png
412,417,6365,6370,1,"160,16-167,23",2:1,keyframes/frame_00417_mame_6370.png
417,418,6370,6371,237,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:12 28:6 29:2,keyframes/frame_00418_mame_6371.png
418,436,6371,6389,2,"160,8-167,23",1:1 2:1,keyframes/frame_00436_mame_6389.png
436,437,6389,6390,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00437_mame_6390.png
437,443,6390,6396,238,"0,120-159,231",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:20 28:20,keyframes/frame_00443_mame_6396.png
443,449,6396,6402,206,"0,120-159,215",15:2 16:20 17:20 18:16 19:20 20:20 21:10 22:20 23:18 24:20 25:20 26:20,keyframes/frame_00449_mame_6402.png
449,479,6402,6432,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00479_mame_6432.png
479,485,6432,6438,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00485_mame_6438.png
485,491,6438,6444,291,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:19 27:19 28:19 29:16,keyframes/frame_00491_mame_6444.png
491,496,6444,6449,1,"160,8-167,15",1:1,keyframes/frame_00496_mame_6449.png
496,497,6449,6450,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00497_mame_6450.png
497,533,6450,6486,2,"160,8-175,15",1:2,keyframes/frame_00533_mame_6486.png
533,534,6486,6487,239,"0,120-159,239",15:6 16:20 17:20 18:20 19:20 20:20 21:20 22:16 23:20 24:20 25:20 26:20 27:7 28:5 29:5,keyframes/frame_00534_mame_6487.png
534,540,6487,6493,254,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:6 27:5 28:20 29:3,keyframes/frame_00540_mame_6493.png
540,546,6493,6499,294,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:20 27:18 28:20 29:17,keyframes/frame_00546_mame_6499.png
546,555,6499,6508,1,"40,24-47,31",3:1,keyframes/frame_00555_mame_6508.png
555,613,6508,6566,2,"160,8-175,15",1:2,keyframes/frame_00613_mame_6566.png
613,614,6566,6567,294,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:20 27:18 28:20 29:17,keyframes/frame_00614_mame_6567.png
614,620,6567,6573,254,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:6 27:5 28:20 29:3,keyframes/frame_00620_mame_6573.png
620,626,6573,6579,239,"0,120-159,239",15:6 16:20 17:20 18:20 19:20 20:20 21:20 22:16 23:20 24:20 25:20 26:20 27:7 28:5 29:5,keyframes/frame_00626_mame_6579.png
626,676,6579,6629,2,"152,8-167,15",1:2,keyframes/frame_00676_mame_6629.png
676,677,6629,6630,294,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:20 27:18 28:20 29:17,keyframes/frame_00677_mame_6630.png
677,683,6630,6636,257,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:7 27:6 28:20 29:4,keyframes/frame_00683_mame_6636.png
683,689,6636,6642,237,"0,120-159,239",15:5 16:20 17:20 18:20 19:20 20:20 21:18 22:20 23:20 24:20 25:20 26:20 27:6 28:4 29:4,keyframes/frame_00689_mame_6642.png
689,699,6642,6652,272,"0,120-159,239",15:19 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:19 28:12 29:12,keyframes/frame_00699_mame_6652.png
699,705,6652,6658,273,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:15 28:14 29:11,keyframes/frame_00705_mame_6658.png
705,711,6658,6664,273,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:15 28:14 29:11,keyframes/frame_00711_mame_6664.png
711,716,6664,6669,1,"152,8-159,15",1:1,keyframes/frame_00716_mame_6669.png
716,717,6669,6670,259,"0,120-159,239",15:19 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:15 25:11 26:20 27:17 28:11 29:7,keyframes/frame_00717_mame_6670.png
717,729,6670,6682,1,"152,8-159,15",1:1,keyframes/frame_00729_mame_6682.png
729,730,6682,6683,76,"120,8-167,239",1:1 15:5 16:5 17:5 18:5 19:5 20:5 21:5 22:5 23:5 24:5 25:5 26:5 27:5 28:5 29:5,keyframes/frame_00730_mame_6683.png
730,754,6683,6707,1,"40,24-47,31",3:1,keyframes/frame_00754_mame_6707.png
754,819,6707,6772,1,"160,8-167,15",1:1,keyframes/frame_00819_mame_6772.png
819,820,6772,6773,76,"0,8-175,239",1:1 15:5 16:5 17:5 18:5 19:5 20:5 21:5 22:5 23:5 24:5 25:5 26:5 27:5 28:5 29:5,keyframes/frame_00820_mame_6773.png
820,859,6773,6812,1,"168,8-175,15",1:1,keyframes/frame_00859_mame_6812.png
859,860,6812,6813,76,"0,8-167,239",1:1 15:5 16:5 17:5 18:5 19:5 20:5 21:5 22:5 23:5 24:5 25:5 26:5 27:5 28:5 29:5,keyframes/frame_00860_mame_6813.png
860,912,6813,6865,234,"0,120-159,231",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:11 28:6,keyframes/frame_00912_mame_6865.png
912,918,6865,6871,254,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:15 28:8 29:4,keyframes/frame_00918_mame_6871.png
918,924,6871,6877,276,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:16 27:16 28:14 29:11,keyframes/frame_00924_mame_6877.png
924,929,6877,6882,1,"160,8-167,15",1:1,keyframes/frame_00929_mame_6882.png
929,930,6882,6883,289,"0,120-159,239",15:19 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:18 28:17 29:15,keyframes/frame_00930_mame_6883.png
930,940,6883,6893,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00940_mame_6893.png
940,946,6893,6899,291,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:19 27:19 28:19 29:16,keyframes/frame_00946_mame_6899.png
946,947,6899,6900,1,"40,24-47,31",3:1,keyframes/frame_00947_mame_6900.png
947,952,6900,6905,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00952_mame_6905.png
952,957,6905,6910,1,"160,8-167,15",1:1,keyframes/frame_00957_mame_6910.png
957,958,6910,6911,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00958_mame_6911.png
958,968,6911,6921,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_00968_mame_6921.png
968,974,6921,6927,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00974_mame_6927.png
974,980,6927,6933,282,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_00980_mame_6933.png
980,985,6933,6938,1,"160,8-167,15",1:1,keyframes/frame_00985_mame_6938.png
985,986,6938,6939,278,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_00986_mame_6939.png
986,997,6939,6950,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_00997_mame_6950.png
997,1003,6950,6956,284,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:15 27:16 28:20 29:17,keyframes/frame_01003_mame_6956.png
1003,1009,6956,6962,267,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:12 27:17 28:14 29:10,keyframes/frame_01009_mame_6962.png
1009,1014,6962,6967,1,"160,8-167,15",1:1,keyframes/frame_01014_mame_6967.png
1014,1015,6967,6968,237,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:12 28:6 29:2,keyframes/frame_01015_mame_6968.png
1015,1035,6968,6988,234,"0,120-159,231",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:11 28:6,keyframes/frame_01035_mame_6988.png
1035,1041,6988,6994,254,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:15 28:8 29:4,keyframes/frame_01041_mame_6994.png
1041,1047,6994,7000,276,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:16 27:16 28:14 29:11,keyframes/frame_01047_mame_7000.png
1047,1052,7000,7005,1,"160,8-167,15",1:1,keyframes/frame_01052_mame_7005.png
1052,1053,7005,7006,289,"0,120-159,239",15:19 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:18 28:17 29:15,keyframes/frame_01053_mame_7006.png
1053,1089,7006,7042,2,"152,8-167,15",1:2,keyframes/frame_01089_mame_7042.png
1089,1090,7042,7043,294,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:20 27:18 28:20 29:17,keyframes/frame_01090_mame_7043.png
1090,1096,7043,7049,257,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:7 27:6 28:20 29:4,keyframes/frame_01096_mame_7049.png
1096,1102,7049,7055,237,"0,120-159,239",15:5 16:20 17:20 18:20 19:20 20:20 21:18 22:20 23:20 24:20 25:20 26:20 27:6 28:4 29:4,keyframes/frame_01102_mame_7055.png
1102,1147,7055,7100,1,"40,24-47,31",3:1,keyframes/frame_01147_mame_7100.png
1147,1152,7100,7105,2,"144,8-159,15",1:2,keyframes/frame_01152_mame_7105.png
1152,1153,7105,7106,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:19 28:20 29:18,keyframes/frame_01153_mame_7106.png
1153,1159,7106,7112,254,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:20 26:8 27:6 28:20 29:2,keyframes/frame_01159_mame_7112.png
1159,1165,7112,7118,222,"0,120-159,239",15:4 16:20 17:20 18:16 19:20 20:20 21:14 22:20 23:18 24:20 25:20 26:20 27:6 28:2 29:2,keyframes/frame_01165_mame_7118.png
1165,1218,7118,7171,295,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:16,keyframes/frame_01218_mame_7171.png
1218,1224,7171,7177,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_01224_mame_7177.png
1224,1230,7177,7183,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_01230_mame_7183.png
1230,1235,7183,7188,1,"144,8-151,15",1:1,keyframes/frame_01235_mame_7188.png
1235,1236,7188,7189,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_01236_mame_7189.png
1236,1245,7189,7198,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_01245_mame_7198.png
1245,1251,7198,7204,283,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:14 29:11,keyframes/frame_01251_mame_7204.png
1251,1257,7204,7210,294,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:19 29:16,keyframes/frame_01257_mame_7210.png
1257,1263,7210,7216,285,"0,8-159,239",1:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:19 25:17 26:20 27:18 28:17 29:15,keyframes/frame_01263_mame_7216.png
1263,1275,7216,7228,292,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:19 26:20 27:19 28:20 29:16,keyframes/frame_01275_mame_7228.png
1275,1281,7228,7234,294,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:19 29:16,keyframes/frame_01281_mame_7234.png
1281,1287,7234,7240,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_01287_mame_7240.png
1287,1292,7240,7245,1,"144,8-151,15",1:1,keyframes/frame_01292_mame_7245.png
1292,1293,7245,7246,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_01293_mame_7246.png
1293,1305,7246,7258,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_01305_mame_7258.png
1305,1311,7258,7264,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_01311_mame_7264.png
1311,1317,7264,7270,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_01317_mame_7270.png
1317,1322,7270,7275,1,"144,8-151,15",1:1,keyframes/frame_01322_mame_7275.png
1322,1323,7275,7276,295,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:16,keyframes/frame_01323_mame_7276.png
1323,1336,7276,7289,295,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:16,keyframes/frame_01336_mame_7289.png
1336,1445,7289,7398,1,"32,24-39,31",3:1,keyframes/frame_01445_mame_7398.png
1445,1448,7398,7401,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_01448_mame_7401.png
1448,1454,7401,7407,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_01454_mame_7407.png
1454,1460,7407,7413,299,"0,8-159,239",1:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_01460_mame_7413.png
1460,1461,7413,7414,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_01461_mame_7414.png
1461,1467,7414,7420,283,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:14 29:11,keyframes/frame_01467_mame_7420.png
1467,1473,7420,7426,294,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:19 29:16,keyframes/frame_01473_mame_7426.png
1473,1479,7426,7432,285,"0,8-159,239",1:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:19 25:17 26:20 27:18 28:17 29:15,keyframes/frame_01479_mame_7432.png
1479,1532,7432,7485,2,"144,8-159,15",1:2,keyframes/frame_01532_mame_7485.png
1532,1533,7485,7486,272,"0,24-159,239",3:2 15:20 16:20 17:20 18:16 19:16 20:16 21:20 22:20 23:20 24:20 25:15 26:20 27:14 28:20 29:13,keyframes/frame_01533_mame_7486.png
1533,1539,7486,7492,269,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:11 27:10 28:20 29:8,keyframes/frame_01539_mame_7492.png
1539,1545,7492,7498,216,"0,120-159,239",15:5 16:20 17:20 18:16 19:16 20:16 21:19 22:10 23:20 24:20 25:20 26:20 27:6 28:4 29:4,keyframes/frame_01545_mame_7498.png
1545,1571,7498,7524,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_01571_mame_7524.png
1571,1577,7524,7530,286,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:15 27:19 28:17 29:16,keyframes/frame_01577_mame_7530.png
1577,1583,7530,7536,269,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:14 29:11,keyframes/frame_01583_mame_7536.png
1583,1588,7536,7541,1,"152,8-159,15",1:1,keyframes/frame_01588_mame_7541.png
1588,1589,7541,7542,250,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:13 25:13 26:20 27:14 28:7 29:7,keyframes/frame_01589_mame_7542.png
1589,1599,7542,7552,250,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:13 25:13 26:20 27:14 28:7 29:7,keyframes/frame_01599_mame_7552.png
1599,1605,7552,7558,269,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:14 29:11,keyframes/frame_01605_mame_7558.png
1605,1611,7558,7564,286,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:15 27:19 28:17 29:16,keyframes/frame_01611_mame_7564.png
1611,1616,7564,7569,1,"152,8-159,15",1:1,keyframes/frame_01616_mame_7569.png
1616,1617,7569,7570,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_01617_mame_7570.png
1617,1628,7570,7581,1,"32,24-39,31",3:1,keyframes/frame_01628_mame_7581.png
1628,1642,7581,7595,2,"152,8-167,15",1:2,keyframes/frame_01642_mame_7595.png
1642,1643,7595,7596,280,"0,120-159,239",15:20 16:20 17:20 18:18 19:18 20:18 21:18 22:20 23:20 24:20 25:17 26:20 27:16 28:20 29:15,keyframes/frame_01643_mame_7596.png
1643,1649,7596,7602,249,"0,120-159,239",15:20 16:20 17:20 18:18 19:18 20:18 21:18 22:20 23:20 24:20 25:20 26:7 27:6 28:20 29:4,keyframes/frame_01649_mame_7602.png
