key_index,capture_frame,mame_frame,source_png,review_png,tile_hash,png_hash
1,1,5954,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00001_mame_5954.png,keyframes/key_0001.png,18a587eb6ae093f5cab16055bb3f8b7a5195b439,f4844a5635a9e828de174479b7ef409029779bae
2,40,5993,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00040_mame_5993.png,keyframes/key_0002.png,3c889e1889036234ba6545ddd8300fb866eb186d,c7cb756439099d329d49be83aa296252502cf98c
3,65,6018,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00065_mame_6018.png,keyframes/key_0003.png,2264bf0b470dd63f38325a67d8e282855b47198c,87e20971219c3d0088b8aa99162ba71d5cc8dfab
4,77,6030,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00077_mame_6030.png,keyframes/key_0004.png,0c68bc83371bf83b4ed59d5aeb7e062ace8c5677,f85976de8769c120772219235e48c5f008e0b58d
5,147,6100,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00147_mame_6100.png,keyframes/key_0005.png,a82738afe238c74d392cdfb98a6d49f494199a2d,d1ae5afb024cfff2426327a02a2eb4f5123578a2
6,196,6149,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00196_mame_6149.png,keyframes/key_0006.png,1e66986a274c00d60771c331593751553d56fc97,14f9ec8776c38962edbb3378e0aeae4cb126cbad
7,209,6162,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00209_mame_6162.png,keyframes/key_0007.png,163747883b2544b6278dfa5bcce45deced34e5df,1fff06b9943c74b9d0bb63f8b4767ccf4898492d
8,268,6221,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00268_mame_6221.png,keyframes/key_0008.png,b6433da08261f6f5bbb2a754aac323278b9d0557,8b8c045a9e682315b7c70093c99b2e3131fd705e
9,291,6244,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00291_mame_6244.png,keyframes/key_0009.png,647f0c07a915d7f3da121f4810942598ac16b169,638235cb0f25a482df568cd2a2840b447b3dbdc2
10,309,6262,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00309_mame_6262.png,keyframes/key_0010.png,147e961804ac35863df8d684e95591fb4863cf4d,31584a5fc8bafbe994b72afd09f1e1dcc18f7e77
11,338,6291,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00338_mame_6291.png,keyframes/key_0011.png,d3fb9f804e26e19d2047a70c91026888ac1b1f25,613025c69e42124ef834f1a51116831ded26406c
12,362,6315,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00362_mame_6315.png,keyframes/key_0012.png,779d9c3bfcc7d063ce0080319a3b3b46bfb2b154,af297a914e0ece115036659518201a24abfcb968
13,375,6328,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0005\playfield\frame_00375_mame_6328.png,keyframes/key_0013.png,cad9949f73541156026a60790830bb76175a4bb7,dfb2b26ae5c1d3a17b79d09454e553e1eca54c69
