index,name,type,width,height,atlas_x,atlas_y,atlas_w,atlas_h,source_kind,source,source_crop_x,source_crop_y,source_component,source_x,source_y,source_w,source_h,area,source_count,hash,image
346,"floor_0346",floor,161,70,1799,966,161,70,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_016_capture_0030.png",0,0,1,0,50,161,70,7327,1,8776aeb4253c5128a3754a3c6b1cccf0e93ff004,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0346.png"
240,"floor_0240",floor,162,70,2,1038,162,70,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0048.png",0,96,2,0,170,162,70,8582,2,b67d22f8f38701bc1c6e5919357a8bf5012d522e,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0240.png"
304,"floor_0304",floor,162,70,166,1038,162,70,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0077.png",0,96,1,0,170,162,70,8944,1,3d98bf4b25739acf2d6f93445bdc141a233fb418,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0304.png"
32,"floor_0032",floor,161,72,330,1038,161,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0022.png",0,96,1,0,168,161,72,7370,25,42cd67fb3ea201420a59756e9dee87f885afa175,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0032.png"
59,"floor_0059",floor,161,72,493,1038,161,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0006.png",0,96,1,0,168,161,72,7241,2,8ee9c98d1c9447f58fccb111a6dc276dd2b9caad,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0059.png"
64,"floor_0064",floor,161,72,656,1038,161,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0008.png",0,96,1,0,168,161,72,7323,8,460a21f0f4af3b14e7038652816ef51464822c83,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0064.png"
115,"floor_0115",floor,161,72,819,1038,161,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0004/keyframes/key_0001.png",0,96,1,0,168,161,72,8829,6,2dfc860cfd9dc5fbaf871d1f7faf303e170bdd52,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0115.png"
182,"floor_0182",floor,161,72,982,1038,161,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0020.png",0,96,1,0,168,161,72,8982,2,433e8cf674f1de18a5fcfb1b71b15ef5118fb681,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0182.png"
232,"floor_0232",floor,161,72,1145,1038,161,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0041.png",0,96,1,0,168,161,72,8238,1,c3c1e391006c454c95538428edcbac52a0f46c95,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0232.png"
349,"floor_0349",floor,161,72,1308,1038,161,72,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_017_capture_0031.png",0,0,1,0,48,161,72,7506,1,0f00010f502c9769426375f8de8d05feca585069,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0349.png"
357,"floor_0357",floor,161,72,1471,1038,161,72,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_019_capture_0034.png",0,0,1,0,48,161,72,7323,1,39e577e6893277a6bbd824d4256ed51cb9805cb8,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0357.png"
379,"floor_0379",floor,161,72,1634,1038,161,72,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_025_capture_0051.png",0,0,1,0,48,161,72,7475,1,96792a73f37350cc000b1f1c17ec4648446be171,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0379.png"
120,"floor_0120",floor,162,72,1797,1038,162,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0002.png",0,96,1,0,168,162,72,8964,2,91179081cfb3d7028090a43526ba22fceeac3467,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0120.png"
141,"floor_0141",floor,162,72,2,1112,162,72,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0006.png",0,96,1,0,168,162,72,8859,3,c2022d0f7e507087aca751f8e9d5fbe06b59d87a,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/floor_0141.png"
35,"wall_0035",wall,30,18,166,1112,30,18,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0022.png",0,96,3,65,147,30,18,532,31,51467f07caae313bd9e87c086b4eab1c16c988f5,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0035.png"
138,"wall_0138",wall,27,22,198,1112,27,22,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0005.png",0,96,3,76,147,27,22,520,2,1cf883da72e272fa09419e7491abfb388f6b9e59,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0138.png"
143,"wall_0143",wall,23,26,227,1112,23,26,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0006.png",0,96,3,128,146,23,26,513,1,4d9e489085b5d797e5a1451921b7a093bd4f8efd,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0143.png"
126,"wall_0126",wall,28,26,252,1112,28,26,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0003.png",0,96,2,3,146,28,26,672,2,75f8a015cd2b237ad253b9f8bb84dbc9259a3e9f,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0126.png"
184,"wall_0184",wall,64,40,282,1112,64,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0020.png",0,96,2,0,139,64,40,2062,1,a5d36b1b7925ff781959b48b209e955be265c864,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0184.png"
428,"wall_0428",wall,64,40,348,1112,64,40,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_044_capture_0127.png",0,0,2,0,19,64,40,1603,1,c089eb39db994c2cfa768470f01c882b983ce49b,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0428.png"
290,"wall_0290",wall,103,56,414,1112,103,56,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0069.png",0,96,2,0,139,103,56,4591,3,5a2f88780a7fd57e2e1397324d8f9fb0ffc04cbc,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0290.png"
255,"wall_0255",wall,139,56,519,1112,139,56,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0054.png",0,96,2,0,139,139,56,5530,1,23ace04d25f1928309428d1c237d12a99ba35f6f,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0255.png"
301,"wall_0301",wall,31,57,660,1112,31,57,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0076.png",0,96,2,0,139,31,57,1485,1,0e654afc441f2954d53fd1e8f9b68248184a8991,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0301.png"
260,"wall_0260",wall,79,57,693,1112,79,57,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0056.png",0,96,2,0,139,79,57,2698,1,a7b700fe9cead36a7c4a71324f12b7835c753d6b,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0260.png"
40,"wall_0040",wall,10,60,774,1112,10,60,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0026.png",0,96,2,0,134,10,60,435,2,e9e420bdadd2fa18b8ff00c9dae3c18a5acc9b85,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0040.png"
137,"wall_0137",wall,56,66,786,1112,56,66,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0005.png",0,96,2,0,128,56,66,1922,2,a8744d53d677740e3d7b1da9d14a8c519e4a5dc7,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0137.png"
305,"wall_0305",wall,117,79,844,1112,117,79,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0077.png",0,96,2,0,131,117,79,5377,1,7c2c7e989224bda6ed35c529f4dee9bd6f9c6aa5,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0305.png"
351,"wall_0351",wall,56,87,963,1112,56,87,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_017_capture_0031.png",0,0,2,0,9,56,87,3644,1,41ad3dd61186f10610def0d6b9a9c02c7e5f3365,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0351.png"
117,"wall_0117",wall,64,87,1021,1112,64,87,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0004/keyframes/key_0001.png",0,96,2,0,129,64,87,3455,5,d2d892ec3bd60e4705403b71a3e6e3ab2eb8412a,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0117.png"
421,"wall_0421",wall,64,87,1087,1112,64,87,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_041_capture_0108.png",0,0,2,0,9,64,87,3327,1,a93785ec2c788808621bfb12dd68a15a82da9248,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0421.png"
330,"wall_0330",wall,24,88,1153,1112,24,88,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_009_capture_0018.png",0,0,2,152,32,24,88,1405,2,6a0aae4532ac6b5d2326c35f67ceba0a7208adf4,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0330.png"
363,"wall_0363",wall,32,90,1179,1112,32,90,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_020_capture_0039.png",0,0,2,0,11,32,90,2338,1,fc1d56aee4df849967873ca03ec8d32d7de4bc9a,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0363.png"
371,"wall_0371",wall,32,90,1213,1112,32,90,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_022_capture_0041.png",0,0,2,0,12,32,90,1426,1,493501d1f4f4bb5dbfe529f7cdd1defaaa51c6c1,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0371.png"
367,"wall_0367",wall,32,92,1247,1112,32,92,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_021_capture_0040.png",0,0,2,0,11,32,92,1917,1,5e809f5fc5a5f74c3b986c4a92c209e21a347da8,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0367.png"
94,"wall_0094",wall,151,100,1281,1112,151,100,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0028.png",0,96,2,0,132,151,100,11276,3,f3865d147ff1743147f84e2f78fcddbade0566b2,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0094.png"
329,"wall_0329",wall,151,100,1434,1112,151,100,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_009_capture_0018.png",0,0,1,0,12,151,100,11140,1,9aa144d5e601a0672a72fb82fca1578338ff49e8,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0329.png"
29,"wall_0029",wall,117,101,1587,1112,117,101,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0021.png",0,96,2,0,131,117,101,7218,3,22fbdad4f5223d5a3f30c6a8d1dc851d2bec8e1e,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0029.png"
85,"wall_0085",wall,128,101,1706,1112,128,101,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0025.png",0,96,2,0,131,128,101,7821,1,f0832264862776136fb49a34952d9241c9b3f350,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0085.png"
