key_index,capture_frame,mame_frame,source_png,review_png,tile_hash,png_hash
1,1,4025,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00001_mame_4025.png,keyframes/key_0001.png,5dfb1eb3f7e70b31050ab9aa0ef1061aeb085669,e680b11f0930fe0304c309b62b089376b241fb9f
2,9,4033,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00009_mame_4033.png,keyframes/key_0002.png,a1c300bc497ce8135ff70705019263e8afbf6780,7c179f09761cb97b8fd4a23eaa6ca9bc5bf78e0e
3,11,4035,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00011_mame_4035.png,keyframes/key_0003.png,0afdf39f3efc6c5d9dbe83435eb46b99d09b80c0,5e88d728980be7ee8d5202f4ea694a8b88ba58be
4,41,4065,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00041_mame_4065.png,keyframes/key_0004.png,1727b4184bc47c4867b72d4147a3bd1b260a8f0b,3b9675f1cbecd716b8812148e943603d892533bf
5,43,4067,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00043_mame_4067.png,keyframes/key_0005.png,c00bccf3e1e4c2ad03b31aa291291597d97d8d47,100037bef6af062c92f13a17508971f0aabe0c77
6,44,4068,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00044_mame_4068.png,keyframes/key_0006.png,75cb2e363ec88fefbd5cb40d269dad3aedec4f2a,852d87fb8f09615b4595ab3da1d0c51511e311d9
7,51,4075,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00051_mame_4075.png,keyframes/key_0007.png,ec021db068537d2361bf468848f0a496aa91c83d,7d5c865403e04379843ab5c4402f7a62c1052cc0
8,52,4076,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00052_mame_4076.png,keyframes/key_0008.png,d65767c9efff14bcfef273d7c68c2903a5174845,40015d364dea08227203cb04ab8efcebd69d9346
9,81,4105,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00081_mame_4105.png,keyframes/key_0009.png,a303eff706664b1396db362a35d588c2e36449e5,89211e9fd5d2dc98b566f8d139d8fa021639993d
10,82,4106,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00082_mame_4106.png,keyframes/key_0010.png,cb613d27f04254b6483926e71a895f8ad4ed5c56,dd9e29c0684439eeea056fde513a2061f2ec6f43
11,91,4115,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00091_mame_4115.png,keyframes/key_0011.png,d0cf721fc27bfb3283910d30a1278c6c047a5abf,e173a4776d6de490a99f758da47380438a364c18
12,113,4137,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00113_mame_4137.png,keyframes/key_0012.png,d5a3dd89a4e8a84d614013112988a4ca4719bd23,6faea78082776a492812d1bd8f8cb9f0d6fb6e5d
13,122,4146,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00122_mame_4146.png,keyframes/key_0013.png,1ef7baf4a3574402d1eb6eafc5f0e6b83723a9b8,f6be0bb29cf777a818b4bc65921573dc1ddb7feb
14,123,4147,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00123_mame_4147.png,keyframes/key_0014.png,3d0f4c854902025a281e6c3af1f832d9f3731c26,2442cca8d7ff100e76f8cbf30ba912f0e3a8ecd1
15,132,4156,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00132_mame_4156.png,keyframes/key_0015.png,949e4ae0878305f5a72dfd9a788735702a1c39b6,82d97a1c837a7d23ab2bf36be0f3b2226a8dc1cf
16,140,4164,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00140_mame_4164.png,keyframes/key_0016.png,538f918d789c518124b3577e6412348d209ef423,630535c20d347cb499da08ffd4489d9e33107be2
17,141,4165,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00141_mame_4165.png,keyframes/key_0017.png,fb7599b9362292df8860868b6535a192be31e52f,9be1d7e9c65313ad9f6ca40f9de605e569af6e2d
18,153,4177,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00153_mame_4177.png,keyframes/key_0018.png,1a4cb74da459fdf4a4e180eca619ba5ea3d97e21,6f75f037df649808adb8c7d9abb3a956da62e77f
19,154,4178,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0003\playfield\frame_00154_mame_4178.png,keyframes/key_0019.png,6a86a3ecb09fa94a8dee86f42e073e9ef529546f,1a2fe8a29508f39211dd021b5b512251a7c724d4
